"985";"Long term sub-lease of 11,357 SF in Mt. Laurel to American Home Mortgage Servicing, Inc.";"15";"1";"<p>Markeim-Chalmers vice president, Kevin Burns, represented the tenant in negotiating the long term sub-lease of an 11,357 square foot office at 1000 Bishops Gate Boulevard in Mt. Laurel, NJ to American Home Mortgage Servicing, Inc.&nbsp; The sub-landlord was MedQuist Inc.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2011-10-31 18:51:33"
"986";"Lease of 3,200 SF medical office space between AtlantiCare and Streamwood Co.";"15";"1";"<p>Markeim-Chalmers arranged the lease of 3,200 square feet in medical space between AtlantiCare (Tenant) and Streamwood Company (Landlord).&nbsp; Seth Hersh, vice president, represented both parties in the long term deal within the Bank of America Plaza at Route 38 and Larchmont Boulevard in Mt. Laurel, NJ</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2011-10-31 19:01:30"
"1003";"Sale of +/- 17,000 SF Retail Investment, Pennsauken, NJ";"15";"1";"<p>Markeim-Chalmers’ vice president, Matthew Neisser, negotiated the sale of 7027 Route 38 in Pennsauken, NJ, representing both the seller, IDALEN, LLC and the buyer, Shatursun Estate, LLC, a private investor.The property consisted of two billboards and Napa Auto Parts as a tenant. &nbsp;The property sold for $900,000, a +/- 10% Cap on Current NOI.</p>
";"
<ul>
</ul>
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:09:37"
"1004";"Long Term Lease of 7,500 SF Medical Space to UMDNJ";"15";"1";"Seth Hersh and Scott Martin, both vice presidents with Markeim-Chalmers, negotiated the long term lease of a 7,500 square feet medical space at the Rutgers Casualty Building in Cherry Hill, NJ.Seth represented 2250 Chapel Avenue, LLC (Landlord) and Scott represented UMDNJ (Tenant).  
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities&nbsp;&nbsp;&nbsp; .</p>";"2012-02-24 20:19:52"
"1005";"Sale of 2,500 Square Feet, Office Building, Cherry Hill, NJ";"15";"1";"<ul>
</ul>
<p>Markeim-Chalmers’ vice presidents, Kevin Burns and Seth Hersh, negotiated the sale of 204 Kings Highway South in Cherry Hill, NJ representing both seller, 5 Jays, LLC and the buyer, 204 Kings Highway, LLC.The 2,500 square feet office sold for $295,000.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>
<ul>
</ul>";"2012-02-24 20:23:18"
"1006";"Sale of 3,000 Square Foot Office, Gloucester, NJ";"15";"1";"<ul>
</ul>
<p>Kevin Burns also represented the same seller (Jays, LLC) in a another transaction selling a 3,000 square foot office located at 1645 Blackwood Clementon Road, Glocuester, NJ for $400,000 to Bethel Christian Center.</p>
";"
<ul>
</ul>
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:10:39"
"1007";"Long Term Lease of 14,000 SF to Velocity Sports/Rothman Institute, Sewell, NJ";"15";"0";"Scott Martin, vice president with Markeim-Chalmers negotiated a 7 year lease term for Velocity Sports/Rothman Institute of 14,000 square feet at 309 Fries Mill Road, Sewell, NJ, occupancy March 2012.
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:33:44"
"1008";"Long Term Lease of 1,200 Square Feet at Cherry Hill Plaza";"15";"1";"Fred Berlinsky, president of Markeim-Chalmers, arranged the long term office lease of 1,200 square feet at Cherry Hill Plaza, 1415 Route 70 East in Cherry Hill, NJ, representing both the tenant, Ramoco Fuels and the landlord, CHP Associates, LLC.
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:51:12"
"1009";"Renewals of over 10,000 SF at 5090 Central Highway, Pennsauken, NJ";"15";"1";"Fred Berlinsky, president, and Kevin Burns, vice president, of Markeim-Chalmers negotiated the renewal of two leases at 5090 Central Highway, Pennsauken, NJ for the Landlord, J&amp;J Snack Foods.Two two tenants, WIS International and Vital Network Services occupy over 10,000 square feet at the building.   
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:52:59"
"1010";"Sale of two Bank Owned buildings in Stratford and Lawnside, NJ";"15";"1";"Matthew Neisser, vice president of Markeim-Chalmers was the sole broker representing the lender in two bank owned transactions located at 814 White Horse Pike, Stratford and 327 White Horse Pike, Lawnside, NJ.The locations were retail and office buildings.
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:55:16"
"1011";"Two Long Term Leases at the Ellipse Building in Mt. Laurel, NJ";"15";"1";"Two long term leases (10 years) were completed at the Ellipse Building, 4201 Church Road, Mt. Laurel, NJ.Seth Hersh, vice president of Markeim-Chalmers represented all parties which included a nail salon and physical therapist and the Landlord, Raab Family Partnership.  
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 20:59:19"
"1012";"Long Term Lease of 2,400 Square Feet to AT&T in Somerdale, NJ";"15";"1";"Markeim-Chalmers arranged the lease of 2,400 square feet in retail space between AT&amp;T Wireless and 67 Properties, LLC.Seth Hersh, vice president, represented AT&amp;T in the long term deal at 2 South White Horse Pike, Somerdale, NJ. 
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 21:02:11"
"1013";"Sale of Former Taylor Rental Center, Delran, NJ";"15";"1";"Seth Hersh, vice president of Markeim-Chalmers negotiated the sale of 8000 Route 130, Delran, NJ consisting of a 2,400 square feet retail building on 2+/- acres. Seth represented both Fisherprops, LLC (Seller) and Affordable Waterproofing, LLC (Buyer).Settlement took place November 2011. 
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 21:13:21"
"1014";"Long Term Lease of 11,500 Square Feet to Day Care Operator, Voorhees, NJ";"15";"1";"Seth Hersh, vice president of Markeim-Chalmers negotiated a long term lease (10 years) of 11,500 SF at 219 South Burnt Mill Road, Voorhees, NJ.Seth represented both parties in the transaction, Little Rain Drops Christian Day Care Center (Tenant) and 219 Burnt Mill Road, LLC (Landlord).      
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 21:17:27"
"1015";"Sale of Retail Building to Goodwill Industries, Haddonfield, NJ";"15";"1";"Markeim-Chalmers’ vice presidents, Kevin Burns and Matthew Neisser represented the seller in the sale of 170 Grove Street, Haddonfield, NJ to Goodwill Industries.The building is 1,600 square feet and will be used for a drop shop.The sale price was $480,000 and took place in January 2012. 
<ul>
</ul>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-02-24 21:19:38"
"1044";"Lease of Industrial Building, Cherry Hill, NJ";"15";"1";"<p>Kevin Burns represented the tenant, Signature Home Solutions, in a lease of 4,732 Square Feet at 2020 Springdale Road, Cherry Hill, with Endurance Real Estate, the owner of the Cherry Hill Industrial Park.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 18:26:03"
"1045";"Sale of Small Warehouse, Camden, NJ";"15";"1";"Kevin Burns represented Kin Properties in the sale of their 10,000 Square Foot Warehouse located at 1995 Ferry Avenue, Camden, to Campano HVAC Company.";;"2012-07-26 18:38:51"
"1046";"Sale of 10,000 SF Office Building, Williamstown, NJ";"15";"1";"<p>Scott Martin negotiated the sale of a 2 story, 10,000 Square Foot Office Building located at 100 North Black Horse, Williamstown, NJ on behalf of the lending institution as Receiver.&nbsp;</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 18:45:45"
"1047";"Expansion and Growth at South Crossing Medical Complex, Marlton, NJ";"15";"1";"<p>Fred Berlinsky negotiated the expansion and long term leases of 2 tenants at South Crossing located on Lippincott Drive in Marlton, NJ.&nbsp; Appearance Dermatology and Pinnacle Health have pushed the 32,000 Square Foot complex to 100% occupancy.</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 19:06:20"
"1048";"Portfolio of Residential Properties, Cherry Hill, NJ";"15";"1";"<p>Fred Berlinsky and Kevin Burns represented the lending institution as Receiver in the sale of a fully leased investment portfolio of residential properties in the Cherry Hill area.</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 19:09:10"
"1049";"Sale of 355 Unit Self Storage Facility, South Harrison, NJ";"15";"1";"<p>Fred Berlinsky and Kevin Burns represented the lending institution as Receiver in the sale of a modern 66,000 Square Foot self-storage facility in a high growth area of Gloucester County.</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 19:11:12"
"1050";"Sale of 3,760 SF Medical Condo, Marlton, NJ";"15";"1";"<p>Fred Berlinsky and Matthew Neisser negotiated the sale of a condo at Willow Ridge Condominiums to a pulmonary medical group.&nbsp; The sales price was $137 per square foot.</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 19:15:27"
"1082";"Small Retail Leasing Is A Specialty At MCI";"15";"1";"<p>Seth Hersh, head of retail leasing at Markeim-Chalmers, is pleased to announce 3 recent deals in the region.&nbsp; Old World Pizza, 7-Eleven and Flowers By Elizabeth will occupy over 7,500 square feet in area strip centers.&nbsp; All of the leases are long term with at least 7 years of term.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:17:59"
"1083";"Sale of Office Building, Lumberton, NJ";"15";"1";"<p>Kevin Burns represented Twin Oaks Community Services, Inc. in the purchase of an 8,700 square foot office building on Main Street.&nbsp; The seller was Sea Tiger Enterprises and the purchase price was $578,000.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:20:31"
"1084";"Sale of Multi-Use Commercial Building, Cherry Hill, NJ";"15";"1";"<p>Matthew Neisser and Kevin Burns represented both buyer and seller for 3,000+/- square foot building on Church Road.&nbsp; The seller was Stamo Diamantis and the buyer was DiCicco Properties, LLC.&nbsp; The purchase price was $290,000.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:22:33"
"1085";"Sale of Former Bob Evans Restaurant, Cherry Hill, NJ";"15";"1";"<p>Kevin Burns represented the Buyer, WHC Real Estate Holdings, Inc., in the purchase of the 5,800 square foot restaurant on Route 70.&nbsp; The new owner will open in the 1st quarter of 2013 a Whole Hog barbecue restaurant which will be similar to the restaurants of the same name in Arkansas.&nbsp; The Seller was Bob Evans Farms, Inc. and the purchase price was $1.3 million.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:24:57"
"1086";"Long Term Chick-Fil-A Ground Lease, Voorhees, NJ";"15";"1";"<p>Seth Hersh and Scott Martin represented the owner of the former Fuddruckers restaurant on White Horse Road in the successful negotiation of a 20 year term lease.&nbsp; Township approvals have been granted and construction is expected to begin in Spring 2013.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:28:41"
"1087";"Sale of 250,000 SF Industrial Warehouse, Gibbstown, NJ";"15";"1";"<p>Fred Berlinsky and Kevin Burns represented Mycone Dental Supply Company, Inc. in the purchase of a modern state-of-the-art manufacturing and distribution facility located off Exit 16B of I-295.&nbsp; The Seller was the EMD Millipore Corporation from Massachusetts.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:31:53"
"1088";"Sale of 191,000 SF Industrial Complex, Cherry Hill, NJ";"15";"1";"<p>Fred Berlinsky and Kevin Burns negotiated the sale of a 2 building complex from Hampton Development, LLC to Meade Williams, LLC.&nbsp; The future use of the property has not been disclosed at this time.&nbsp; The property is located just off Route 70 and minutes from downtown Philadelphia.&nbsp; Markeim-Chalmers represented both buyer and seller.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 21:34:26"
"1112";"100 Kingsway East, Sewell, NJ";"15";"1";"<p>Scott Martin represented St. Christopher Hospital in the long term lease of 7,619 Square Feet in Sewell Township.&nbsp; This is a property that Mr. Martin sold to the Landlord, Haddon Property, LLC as an investment.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:35:35"
"1113";"Liquor License, Cherry Hill, NJ";"15";"1";"<p>Kevin Burns represented Lone Star Steakhouse in the sale of their Cherry Hill Liquor License in Cherry Hill to Red Robin International.&nbsp; Red Robin is building a new restaurant on a pad on Route 38 in front of the Cherry Hill Mall.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:42:13"
"1114";"Libertyview, Haddonfield Road, Cherry Hill, NJ";"15";"1";"<p>Scott Martin has represented the Locks Law Firm in the renewal of their 6,617 Square Foot suite in the Libertyview Building.&nbsp; Brandywine Realty Trust is the owner of this property.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:47:25"
"1115";"410 Flynn Avenue, Moorestown, NJ";"15";"1";"<p>Markeim-Chalmers, Inc., acting as Court Appointed Receiver for a regional bank sold a 22,000 Square Foot commercial building to Flynn Avenue Associates, LLC.&nbsp; The new owners are planning to redevelop the site for athletic use.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:48:31"
"1116";"Wawa, Kearny, NJ";"15";"1";"<p>Markeim-Chalmers is proud to announce the successful transaction between Vineland Construction Company and WaWa, Inc. in a long term land lease.&nbsp; The pad site is located at the front of the Kearny Wal-Mart.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:50:44"
"1117";"Garden State Medical, Route 73, Marlton, NJ";"15";"1";"<p>Seth Hersh and Fred Berlinsky represented the tenant, Heymann, Manders &amp; Green, LLC, in a long term medical office lease.&nbsp; The space is 6,150 Square Feet.&nbsp; The property is managed by Needleman Management Company and will undergo extensive cosmetic and capital improvements.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:56:16"
"1118";"1101 White Horse Road, Voorhees, NJ";"15";"1";"<p>Seth Hersh and Fred Berlinsky represented the Landlord, Voorhees White Horse, L.P., in a long term medical office lease to the Vein and Vascular Institute.&nbsp; The space is 6,000 Square Feet.&nbsp; The Landlord will be making major capital improvements to the exterior of this commercial center that is also home to Citizens Bank and Quest Diagnostics.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 18:57:47"
